fips,year,wuiClass,variable,value
6025,2005,6,num houses,13819
6025,2005,7,num houses,62740
6025,2005,total,num houses,88763
6025,2015,1,num houses,282
6025,2015,2,num houses,971
6025,2015,3,num houses,1788
6025,2015,4,num houses,1579
6025,2015,5,num houses,7584
6025,2015,6,num houses,13819
6025,2015,7,num houses,62740
6025,2015,total,num houses,88763
6025,2019,1,num houses,282
6025,2019,2,num houses,971
6025,2019,3,num houses,1788
6025,2019,4,num houses,1579
6025,2019,5,num houses,7584
6025,2019,6,num houses,13819
6025,2019,7,num houses,62740
6025,2019,total,num houses,88763
6027,1975,1,num houses,990
6027,1975,2,num houses,901
6027,1975,3,num houses,1444
6027,1975,4,num houses,837
6027,1975,5,num houses,1428
6027,1975,6,num houses,7256
6027,1975,7,num houses,0
6027,1975,total,num houses,12856
6027,1985,1,num houses,1008
6027,1985,2,num houses,879
6027,1985,3,num houses,1369
6027,1985,4,num houses,679
6027,1985,5,num houses,2071
6027,1985,6,num houses,8461
6027,1985,7,num houses,0
6027,1985,total,num houses,14467
6027,1995,1,num houses,1020
6027,1995,2,num houses,856
6027,1995,3,num houses,1383
6027,1995,4,num houses,614
6027,1995,5,num houses,2420
6027,1995,6,num houses,9228
6027,1995,7,num houses,0
6027,1995,total,num houses,15521
6027,2005,1,num houses,1026
6027,2005,2,num houses,865
6027,2005,3,num houses,1140
6027,2005,4,num houses,942
6027,2005,5,num houses,2549
6027,2005,6,num houses,9673
6027,2005,7,num houses,0
6027,2005,total,num houses,16195
6027,2015,1,num houses,1029
6027,2015,2,num houses,865
6027,2015,3,num houses,1155
6027,2015,4,num houses,968
6027,2015,5,num houses,2628
6027,2015,6,num houses,9857
6027,2015,7,num houses,0
6027,2015,total,num houses,16502
6027,2019,1,num houses,1030
6027,2019,2,num houses,865
6027,2019,3,num houses,1155
6027,2019,4,num houses,973
6027,2019,5,num houses,2640
6027,2019,6,num houses,9877
6027,2019,7,num houses,0
6027,2019,total,num houses,16540
6029,1975,1,num houses,36
6029,1975,2,num houses,344
6029,1975,3,num houses,1731
6029,1975,4,num houses,4674
6029,1975,5,num houses,21822
6029,1975,6,num houses,72575
6029,1975,7,num houses,169142
6029,1975,total,num houses,270324
6029,1985,1,num houses,36
6029,1985,2,num houses,345
6029,1985,3,num houses,1655
6029,1985,4,num houses,4667
6029,1985,5,num houses,21748
6029,1985,6,num houses,73505
6029,1985,7,num houses,204039
6029,1985,total,num houses,305995
6029,1995,1,num houses,36
6029,1995,2,num houses,345
6029,1995,3,num houses,1669
6029,1995,4,num houses,4542
6029,1995,5,num houses,21380
6029,1995,6,num houses,72798
6029,1995,7,num houses,245272
6029,1995,total,num houses,346042
6029,2005,1,num houses,38
6029,2005,2,num houses,347
6029,2005,3,num houses,1680
6029,2005,4,num houses,4394
6029,2005,5,num houses,20522
6029,2005,6,num houses,74386
6029,2005,7,num houses,283003
6029,2005,total,num houses,384370
6029,2015,1,num houses,39
6029,2015,2,num houses,347
6029,2015,3,num houses,1692
6029,2015,4,num houses,4428
6029,2015,5,num houses,20824
6029,2015,6,num houses,71999
6029,2015,7,num houses,319691
6029,2015,total,num houses,419020
6029,2019,1,num houses,39
6029,2019,2,num houses,347
6029,2019,3,num houses,1692
6029,2019,4,num houses,4429
6029,2019,5,num houses,20854
6029,2019,6,num houses,72223
6029,2019,7,num houses,324403
6029,2019,total,num houses,423987
6031,1975,1,num houses,0
6031,1975,2,num houses,0
6031,1975,3,num houses,275
6031,1975,4,num houses,1422
6031,1975,5,num houses,3078
6031,1975,6,num houses,11528
